ID;Titre;Prénom1;Nom1;Prénom2;Nom2;Prénom3;Nom3;Pitch;jour;plage;ID-ctrl;Niveau;Objectif;Salle;Time
93;"Managers, trouvez votre place dans un monde agile";"Nicolas";"KALMANOVITZ";"Alban";"DALLE";"";"";"Nous l’observons de plus en plus, la recherche d’agilité conduit les entreprises à adapter leur organisation : casser les silos, privilégier les petites équipes pluridisciplinaires, rendre ces équipes plus autonomes et responsables... avec à la clé une vraie remise en question du rôle des managers.<br>Un manager a-t-il encore sa place dans une équipe autonome et responsable ?<br>Qu’est-ce que les équipes peuvent attendre des managers dans une telle organisation ?<br>Comment évaluer la progression ou la performance d’un collaborateur managé, d’une équipe ?<br>Cumulant 30 ans de management dans des contextes traditionnels et agiles, Alban et Nicolas vous partagent leur propre expérience, leur vision et comment, depuis 5 ans, ils accompagnent l’évolution des postures managériales dans les entreprises en transformation.<br>Pour tous les managers et agents du changement débutants ou avancés qui souhaitent comprendre concrètement comment positionner les managers dans l’entreprise agile";"Jeudi matin";"Long 1.2";"93";"Shu (apprendre les fondamentaux)";"Expliquer des bases";"Chalet 1";"11h20 - 12h20"
95;"Et si Mario était UX designer...";"Sarah";"COLMON";"Alexandra";"NEMERY";"";"";"Avez-vous déjà ressenti de la frustration en jouant à un jeu vidéo à cause de commandes non intuitives ? Vous êtes-vous déjà ennuyés devant des pages de chargement trop longues ? Vous aussi, vous pensez que les inventaires sont souvent mal conçus ? Si vous vous sentez concernés par ces problématiques, alors vous avez aussi expérimenté des problèmes d'expérience utilisateur dans votre vie de gamer. Nous vous proposons un nouvel angle de vue sur la UX, en vous apportant des exemples concrets issus des grands hits des jeux vidéo. En partant d'exemples de rétrogaming jusqu'aux blockbusters récents de l'industrie du jeu, nous ferons le tour d'éléments essentiels qui concourent à une bonne expérience. La UX est parfois là où on ne l'attend pas, venez explorer une nouvelle approche plus parlante et plus fun sous l'angle des jeux vidéo, où utilisabilité et jouabilité ne sont pas si éloignées ! Et si vous reconsidéreriez l'expérience utilisateur sous l'angle de l'expérience gamer ?";"Vendredi matin";"Long 2";"95";"Ha (casser avec la tradition)";"Partager une expérience";"Chalet 4";"09h30 - 10h30"
97;"Comment accélerer vos tests ... une histoire de Machine Learning";"Ismail";"HAMMOUNOU";"Ismail";"HAMMOUNOU";"";"";"Les développeurs s'appuient surtout sur l'opinion des experts. Malheureusement, ils ne sont pas infaillibles. Grâce au Data Science et au Machine Learning, nous pouvons maintenant utiliser les données pour améliorer nos pratiques de développement.<br>Comme beaucoup de software houses qui ont eu du succès sur plusieurs décennies, Murex s'appuie sur de nombreux tests end-to-end pour son assurance qualité. Bien que fiables, ces tests sont lents, ce qui ralenti le feedback pour les développeurs. Nous avons travaillé à prédire quels sont les tests les plus risqués pour un commit. En réduisant le nombre de tests à lancer, l'algorithme a réduit le temps de test de 5h à 2h30. En venant écouter cette histoire, vous apprendrez également :<br>* Ce que le Data Science pourrait apporter aux pratiques de dev<br>* Comment affiner les bonnes pratiques de dev pour votre projet<br>* Le workflow typique du Machine Learning<br>* Comment commencer à utiliser vos données<br>Venez voir un aperçu du futur du génie logiciel.";"Jeudi matin";"Long 1.2";"97";"Ha (casser avec la tradition)";"Faire vivre une pratique";"Chalet 2";"11h20 - 12h20"
98;"Live Refactoring de Legacy Code avec les techniques du Golden Master et du Mikado Method";"Philippe";"BOURGAU";"";"";"";"";"“Hier, j’ai continué mon refactoring. Je devrais avoir fini aujourd’hui.” Vous êtes vous déjà retrouvé à répéter cela pendant 15 daily meetings de suite?<br>Dans le quotidien des développeurs, refactorer le code legacy reste une des activités les plus compliquées et risquées. “N’y touchons pas !” est la recommandation la plus répandue. Malheureusement, nous passons au moins 80% du temps dans du code ‘Legacy’. Autant être prêt !<br>Venez découvrir, de manière très pratique, le golden Master et la méthode Mikado, 2 techniques de refactoring de code legacy, grâce à un live code kata. Vous comprendrez comment ces techniques:<br>* évitent l’effet tunnel<br>* découpent un gros refactoring en petites étapes déployables<br>* réduisent les risques<br>* contribuent à un rythme soutenable<br>* se complémentent pour un effet maximal<br>* peuvent être utilisées dans des contextes différents<br>Etes vous prêt à vous attaquer au Legacy ? Ça commence ici ^_^";"Vendredi matin";"Long 3";"98";"Shu (apprendre les fondamentaux)";"Partager une expérience";"Chalet 4";"10h50 - 11h50"
105;"Sur le chemin de la qualité : en équipe et dès demain !";"Julien";"JAKUBOWSKI";"";"";"";"";"Ça y est ! C’est décidé ! Vous allez construire des applications de meilleure qualité. Vous êtes convaincu•e que, pour cela, certaines pratiques de développement sont fondamentales comme par exemple les revues de code ou les tests unitaires automatisés.<br>Mais le problème, c’est que vos collègues n’en font pas. Parce que « c’est trop cher on n’a pas le temps », « je ne connais pas », « on ne m’écoutera pas », « ça ne marchera pas chez nous », « je crains les remarques sur mon code »...<br>Comment aider votre équipe ?<br>Après cette conférence, quand vous reviendrez sur votre plateau projet, vous aurez quelques éléments à essayer tout de suite. Et peut-être de quoi élaborer un plan de bataille pour que vous et votre équipe soyez fiers de votre code et ainsi conquérir le monde !";"Jeudi matin";"Long 1";"105";"Ha (casser avec la tradition)";"Partager une expérience";"Chalet 3";"09h50 - 10h50"
106;"L'UX, acteur de la transformation d'un pays !";"Philippe";"SOURGET";"Victor";"PICHON";"";"";"La session s'adresse à un public très large (Coach agile, Product Owner, UX...). Il s'agit d'un retour d'expérience d'une mission d'accompagnement UX pour les services publics du gouvernement Polynésien. Cette session ne nécessite pas de connaissances préalable. C'est une invitation au voyage qui permettra au public de mieux appréhender la mutation actuelle de la Polynésie française et de comprendre comment une démarche centrée utilisateurs a permis d'accompagner la transformation digitale d'un pays.";"Jeudi après-midi";"Court 2";"106";"Ha (casser avec la tradition)";"Faire vivre une pratique";"Chalet 4";"17h20 - 17h40"
107;"Des outils pour changer de posture managériale";"Olivier";"LE LAN";"";"";"";"";"Et pourquoi tu as décidé ça ? Oui, mais tu pourrais faire ça, C'est vous le boss, dites-moi quoi faire !<br>Vous avez déjà dit ou entendu ce genre de phrases, non ?  On dit aux managers qu'ils doivent changer leur posture et devenir agile. On dit aux équipes qu'elles doivent collaborer et se responsabiliser. Malgré tous les frameworks et méthodes, la transition agile se fait souvent dans la douleur. Je suis convaincu qu'il est primordial de casser certains réflexes de langage pour déployer réellement et efficacement l'intelligence collective au sein de l'entreprise, et je vous propose d'expérimenter des techniques simples et efficaces pour ainsi avancer d'un grand pas vers l'entreprise agile.";"Vendredi Après-midi";"Court 3";"107";"Shu (apprendre les fondamentaux)";"Partager une expérience";"Chalet 1";"16h40 - 17h10"
108;"Quelle est notre réponse à l'adage documenter, oui ! mais il faut une doc utile";"thomas";"BONSET";"Émilien";"BOULBEN";"";"";"En tant que développeurs, nous avons souvent entendu l'expression courageuse de doc utile, qui laisse plus perplexe qu'autre chose.<br>Face à un besoin clair (l'explication de ce que fait un code - eh oui, le code ne se suffit pas à lui même) et à une demande importante (de nouveaux devs qui arrivent, de devs partis 2 mois en vacances, du remplissage de CRA) nous avons repensé tout notre workflow de travail afin d'alimenter une doc utile (pour de vrai), contextualisée et surtout maintenue.<br>Nous n'avons pas d'autres prétentions que de proposer une réponse possible à un problème donné. Il s'agira donc d'un REX qui présentera nos choix de workflow, leurs exigences, leurs avantages, et leurs conséquences. Nous y parlerons pèle-mêle de gestion de version, de technique du palmier, de cross-test, de tests unitaires, de requêtes de tirage...<br>Nous voulons la présentation courte, bon , accessible à tout public pour peu qu'on ait une vague idée de comment un produit se développe.";"Vendredi Après-midi";"Court 3";"108";"Shu (apprendre les fondamentaux)";"Tenter un truc";"Chalet 2";"16h40 - 17h10"
112;"La vie est un jeu... de rôle !";"Elodie";"DESCHARMES";"";"";"";"";"Team member, product owner, scrum master, coach agile... Mon rôle et moi, moi et mon rôle... et si on parlait un peu de jeux de rôles ?<br>Qu’est-ce que le jeu de rôle nous apprend sur la gestion de nos différentes casquettes ? Sur la cohésion d’équipe ? « Dis-moi comment tu joues, je te dirai qui tu es ! »<br>Lors de cette session, nous nous intéresserons tout particulièrement au partage des émotions dans un collectif, un super-pouvoir pour créer et resserrer des liens, mais à manier avec précaution !<br>Bref, un peu d’expérience rôliste au service de notre agilité :)";"Jeudi après-midi";"Court 2";"112";"Shu (apprendre les fondamentaux)";"Partager une expérience";"Chalet 4";"17h20 - 17h50"
117;"Le Wedding PI Planning";"Pascale";"POTHIN";"Marco";"MARCAL";"Catherine";"BOUDLAL";"Lors d'une transformation agile à l'échelle, il n'est pas toujours simple de convaincre les équipes et surtout leur manager de l'utilité de participer à un PI planning. Souvent il n'est vu que la perte de production associée à un tel événement : des centaines de personnes qui ne développent rien mais passent 2 jours en réunion... Dans le cadre de ma mission chez mon client, j'ai inventé un atelier afin de faire vivre de manière ludique un PI planning. Avec 4 autres autres coaches Agiles nous avons réalisé tapis de jeux et cartes. Nous avons avec succès fait jouer les managers (exco) et depuis nous intégrons ce jeu dans nos formations agile à l'échelle pour les équipes. Aucune connaissance n'est nécessaire. Ce jeu est à destination de toute personne souhaitant découvrir en quoi consiste cette cérémonie de PI Planning. Les participants repartent en ayant compris les avantages d'une telle cérémonie : vision commune, communication, coopération, collaboration, synchronisation...";"Vendredi matin";"Long 2";"117";"Ha (casser avec la tradition)";"Partager une expérience";"Fermette";"09h30 - 10h30"
128;"Déboires agiles au comptoir";"Grégoire";"QUENTIN";"Dan";"MAGIER";"";"";"PITCH : 2 coachs agiles se retrouvent dans un bar, et se commence à épiloguer sur leurs déboires de missions...<br>CONTENU : des expériences parlant d'agilité à l’échelle, de management, de devops, ... le tout mixant REX et Tips.<br>FORMAT : Nous souhaitons tester un format différent d'une conférence classique. De part une mise en scène théâtrale, et l'enchaînement de scénettes nous souhaitons faire vivre les retours d'expérience et les enseignements à en tirer";"Vendredi";"Déjeuner";"128";"Ha (casser avec la tradition)";"Partager une expérience";"Chalet 3";"Déjeuner"
129;"A la recherche de la résilience, l’agile local et à petite échelle";"Nathaniel";"RICHAND";"";"";"";"";"Voilà de nombreuses années qu’une partie de la communauté agile s’agite autour de la question : comment passer de l’équipe agile à l’entreprise agile ?<br>Et si ce n’était pas la bonne question ?<br>Je voudrais à travers cette session vous parler d’un domaine différent mais riche d’inspiration : la permaculture.<br>L’agriculture moderne basée sur la mécanisation et la chimie à outrance arrive à un tournant. La rentabilité promise par la culture de champs gigantesques ne fonctionne plus car celle-ci à détruit l'écosystème.<br>L’avenir de l’agriculture se fera certainement sur un retour aux sources : imiter la nature et recréer les sols capable de produire de la richesse, entretenir des petits écosystèmes avec soins qui seront hyper productif plutôt que de très grand à bout de souffle.<br>Et si on s’inspirait des principes de la permaculture pour réinventer nos organisations ? Venez découvrir comment démarrer et plantez la graine du changement avec nous :)";"Vendredi matin";"Long 3";"129";"Ha (casser avec la tradition)";"Faire vivre une pratique";"Fermette";"10h50 - 11h50"
130;"Scale Puzzle Game";"Bastien";"JACOUD";"Edouard";"PRIMAULT";"";"";"Les valeurs et les pratiques agiles avec une équipe, ça marche! Avec 2 ou 3 équipes aussi! Que se passe-t-il si l’on passe à beaucoup plus d’équipes qui travaille en même temps sur un même produit ?<br>Nous vous proposons de simuler ce cas de figure en construisant collectivement un puzzle de plus de 1000 pièces d’une complexité inouïe. A partir d’un cadre agile de départ, vous le ferez évoluer votre organisation afin de produire le plus valeur possible. Au travers cette expérience, vous serez initiés aux opportunités et aux difficultés de l’agilité à l’échelle.";"Vendredi matin";"Long 2 + 3";"130";"Ha (casser avec la tradition)";"apprendre en s'amusant";"Belvédère";"09h30 - 11h50"
131;"Les enfants terribles de l'agilité, l'atelier ludo parodico télévisuo pédagogique !";"Emmanuel";"GUE";"Alexandre";"HUETE";"";"";"Nous sommes Tic et Tac, à moins que cela ne soit le contraire, nous sommes les s terribles de l'agilité, donnez-nous un concept on vous le hack !<br>Vous aimez l'agilité, les années 80, les séries TV, les jeux TV, les tubes et pub de l'époque. Mixer le tout et cela vous donnera une idée de notre atelier façon jeu TV. Bref si pour vous, apprendre en s'amusant est un crédo alors vous êtes au bon endroit.<br>* Pour tout agiliste qui saura jongler entre les valeurs agiles, les années 80, les anti-patterns, les processus, les outils, la dérision et revenir aux basics.<br>* nécessaire : un esprit créatif, une envie de partage, un brin de folie. Quelques notions d'agilité, des heures passées devant la TV, avoir vécu dans les années 80/90 seraient un plus.<br>*  une expérience unique, du fun des rires, et avec un peu de chances, vous apprendrez même 2, 3 trucs au passage, les gagnants repartent avec un pot d'agigilité, la poudre magique pour agiliser vos projets.";"Jeudi matin";"Long 1";"131";"Shu (apprendre les fondamentaux)";"Tenter un truc";"Chalet 2";"09h50 - 10h50"
141;"Réussir le changement sur les projets agiles !";"Davy";"AZAM";"Didier";"ORTEGA";"";"";"Agile ou Waterfall, aujourd'hui 83% des projets dérivent ou ne génèrent pas les bénéfices escomptés et les 3 premières causes d'échec sont liées au change management<br>Les méthodes agiles cherchent à éviter l'effet tunnel des méthodes classiques et proposent une organisation réunissant toutes les expertises (métier, connaissance du produit, développement, ...) afin d'optimiser l'efficacité opérationnelle et de s'assurer que le produit livré correspond aux attentes.<br>Et le changement dans tout ça ?<br>La conduite du changement sur les projets est souvent déployée en fin de projet autour du triptyque formation, documentation, communication, or ces pratiques séquentielles sont peu adaptées aux approches agiles.<br>De l'expérimentation à la co-construction, nous vous proposons de vous donner les étapes clés de l'accomplissement du changement sur vos projets agiles.";"Jeudi après-midi";"Court 2";"141";"";;"Chalet 2";"17h20 - 17h40"
144;"Education Nationale : Qui a dit que le mammouth ne pouvait pas être agile ?";"Marta";"THONGSAVARN";"Nicolas";"CHAIGNEAU";"Xavier";"FENOUIL";"Qui a dit que le mammouth ne pouvait pas être agile ?<br>Ceux qui pensent notre environnement administratif et juridique trop contraint, initialement peu propice à l’agilité ?<br>Ceux qui jugent peu compatible d'avoir des  équipes réparties sur différents sites en métropole ?<br>Ceux qui connaissent les grands programmes informatiques au sein de la fonction publique grâce à leurs couacs plutôt que leurs hip hip hip hourra !<br>Soyons honnête, nous avons nous-même beaucoup douté. Et nous continuons de nous interroger. Mais nous sommes fiers du parcours que nous avons déjà fait.<br>Le Ministère, huitième employeur mondial, a démarré des expériences de développement en mode Agile dès 2015 avec l’expérimentation de Scrum puis en 2016 par la mise en place de l’agile à l’échelle pour 32 équipes de développement et 450 collaborateurs. Il affiche aujourd’hui une volonté de généralisation avec le plan de transformation agile ! Venez nous voir on vous dit tout, nos fiertés, nos doutes et nos échecs !<br>Au programme :<br>- La sortie de l’Age de Glace du mammouth<br>- La dérive des continents<br>- Les lois de l'univers et au-delà";"Jeudi matin";"Long 1";"144";;;"Chalet 2";"09h50 - 10h50"
007;"Si Darwin avait raison, l'agilité fonctionne par hasard";"François";"ZANINOTTO";"";"";"";"";"L'agilité provoque de nombreuses mutations dans l'IT, ce qui permet une plus grande adaptation des équipes techniques à l'environnement changeant de leurs entreprises. Et il existe une espèce de sélection naturelle des entreprises qui fait aujourd'hui émerger les plus agiles. Mais l'hypertrophie de l'IT dans les nouveaux géants de l'économie cache une énorme vulnérabilité : l'agilité pêche à dépasser l'organe informatique, et les autres métiers de l'entreprise doivent, eux aussi, muter plus souvent. A travers mon expérience d'entrepreneur et un rapprochement pas trop sérieux avec la théorie de l'évolution, cette conférence sera pour moi l'occasion d'appeler à une révolution dans la pratique du management.";"Vendredi matin";"Keynote";"007";;;"Belvédère";"12h00 - 12h40"
